id,model,model_label,split,sequence,time_seconds,review_priority,threshold_stability_iou,model_disagreement,foreground_boundary_entropy,flow_warp_mae,raw_components,discarded_fraction,foreground_fraction,pseudo_iou,pseudo_dice,base_width_raw_px,height_raw_px,triangle_area_raw_px2,flags,original,overlay,entropy,disagreement,true_iou,true_dice,true_vertex_error_roi_px,vertices_roi,triangle_svg
V01_f0000035,dino_pyramid,dino_pyramid,train,V01,1.1666666666666667,38.21,0.9144210838021913,0.6762956431680452,0.34131383895874023,0.0872579887509346,1,0.0,0.0424958240717602,0.7729786673689755,0.8719548425430779,113.74394896252537,201.66175181813045,11468.902003247444,models_disagree;temporal_change,../../dataset/images/V01_f0000035.png,dino_pyramid/overlays/V01_f0000035.jpg,quality/dino_pyramid/entropy/V01_f0000035.jpg,quality/disagreement/V01_f0000035.jpg,,,,"[[192.54544085264206, 154.86963093280792], [394.2867106795311, 142.7565962076187], [390.392660677433, 256.1771348118782]]",dino_pyramid/triangles/V01_f0000035.svg
V02_f0000035,dino_pyramid,dino_pyramid,train,V02,1.1666666666666667,37.081,0.9126676602086438,0.6140193483754243,0.3444531261920929,0.08900346606969833,1,0.0,0.042179608585858584,0.7665738161559889,0.8678650268054242,109.96837714668075,205.72088945367761,11311.39617919632,models_disagree;temporal_change,../../dataset/images/V02_f0000035.png,dino_pyramid/overlays/V02_f0000035.jpg,quality/dino_pyramid/entropy/V02_f0000035.jpg,quality/disagreement/V02_f0000035.jpg,,,,"[[200.24632215499878, 162.05418455600739], [407.01010823249817, 153.76448553800583], [399.980925321579, 263.55661594867706]]",dino_pyramid/triangles/V02_f0000035.svg
V01_f0000035,unet_small,unet_small,train,V01,1.1666666666666667,35.989,0.9134015472922385,0.6762956431680452,0.34179404377937317,0.07592258602380753,1,0.0,0.05042679959490208,0.7560450083792195,0.8610770279481936,105.88622090898959,256.872604199529,13599.634656869388,models_disagree;temporal_change,../../dataset/images/V01_f0000035.png,unet_small/overlays/V01_f0000035.jpg,quality/unet_small/entropy/V01_f0000035.jpg,quality/disagreement/V01_f0000035.jpg,,,,"[[168.22097712755203, 150.2840593457222], [424.34555900096893, 159.83033180236816], [419.51272332668304, 265.3670981526375]]",unet_small/triangles/V01_f0000035.svg
V02_f0000036,dino_pyramid,dino_pyramid,train,V02,1.2,34.785,0.9197897007279591,0.5467556123293829,0.3197668790817261,0.08753500878810883,1,0.0,0.09397097625329816,0.9512029359793394,0.9749912922326716,101.27328689115555,500.0276774587467,25319.723216398925,models_disagree;temporal_change,../../dataset/images/V02_f0000036.png,dino_pyramid/overlays/V02_f0000036.jpg,quality/dino_pyramid/entropy/V02_f0000036.jpg,quality/disagreement/V02_f0000036.jpg,,,,"[[148.1751662492752, 153.68000948429108], [647.4611306190491, 143.49881148338318], [642.8247427940369, 244.31382024288177]]",dino_pyramid/triangles/V02_f0000036.svg
V02_f0000030,dino_pyramid,dino_pyramid,train,V02,1.0,34.746,0.9155143595198298,0.5371718663899734,0.3318788707256317,0.08757658302783966,1,0.0,0.08375,0.9139722019019751,0.9550527442287112,97.52142601707045,465.7998606852807,22712.73332629066,models_disagree;temporal_change,../../dataset/images/V02_f0000030.png,dino_pyramid/overlays/V02_f0000030.jpg,quality/dino_pyramid/entropy/V02_f0000030.jpg,quality/disagreement/V02_f0000030.jpg,,,,"[[174.8445975780487, 129.91083991527557], [635.7225608825684, 116.84246462583542], [636.6118669509888, 213.35044300556183]]",dino_pyramid/triangles/V02_f0000030.svg
V02_f0000035,baseline,baseline,train,V02,1.1666666666666667,34.737,0.8980978260869565,0.6140193483754243,0.39071086049079895,0.07400304824113846,1,0.0,0.03664246632996633,0.7048661099913619,0.8268873501097788,89.67152110085226,219.5404051758495,9843.261037607921,models_disagree;temporal_change,../../dataset/images/V02_f0000035.png,baseline/overlays/V02_f0000035.jpg,quality/baseline/entropy/V02_f0000035.jpg,quality/disagreement/V02_f0000035.jpg,,,,"[[168.01228165626526, 154.69470298290253], [388.95429611206055, 158.7457638978958], [397.1893644332886, 248.07809281349182]]",baseline/triangles/V02_f0000035.svg
V01_f0000035,baseline,baseline,train,V01,1.1666666666666667,33.307,0.9101412066752247,0.6762956431680452,0.3590870201587677,0.06177806481719017,1,0.0,0.04907208901632229,0.5704668838219327,0.7264933628318584,95.79922491885618,276.360338739651,13237.553124785556,models_disagree;temporal_change,../../dataset/images/V01_f0000035.png,baseline/overlays/V01_f0000035.jpg,quality/baseline/entropy/V01_f0000035.jpg,quality/disagreement/V01_f0000035.jpg,,,,"[[170.57353556156158, 149.38632398843765], [446.5481023788452, 148.03138375282288], [451.0103187561035, 243.51029098033905]]",baseline/triangles/V01_f0000035.svg
V02_f0000035,unet_small,unet_small,train,V02,1.1666666666666667,33.167,0.9137440758293839,0.6140193483754243,0.34131449460983276,0.06967674940824509,1,0.0,0.053174978956228955,0.6708566108007449,0.8030091947617721,102.56154127000664,277.9549301955345,14253.743022225563,models_disagree;temporal_change,../../dataset/images/V02_f0000035.png,unet_small/overlays/V02_f0000035.jpg,quality/unet_small/entropy/V02_f0000035.jpg,quality/disagreement/V02_f0000035.jpg,,,,"[[168.34272980690002, 153.16128259897232], [446.58174991607666, 160.13856548070908], [439.67498302459717, 262.5126528739929]]",unet_small/triangles/V02_f0000035.svg
V01_f0000036,dino_pyramid,dino_pyramid,train,V01,1.2,32.883,0.9207154297917779,0.47971372101302495,0.31758296489715576,0.08661065250635147,1,0.0,0.09509259259259259,0.9212292002147074,0.958999790458895,103.16461926385564,499.6451329777625,25772.849955344696,models_disagree;temporal_change,../../dataset/images/V01_f0000036.png,dino_pyramid/overlays/V01_f0000036.jpg,quality/dino_pyramid/entropy/V01_f0000036.jpg,quality/disagreement/V01_f0000036.jpg,,,,"[[148.2538125514984, 156.26313909888268], [644.5857266187668, 146.93893119692802], [642.3213526010513, 249.32679533958435]]",dino_pyramid/triangles/V01_f0000036.svg
V01_f0000070,dino_pyramid,dino_pyramid,train,V01,2.3333333333333335,32.769,0.91632597437994,0.71940002659028,0.3349439799785614,0.055093202739953995,1,0.0,0.045636852147502044,0.7561200923787529,0.8611257233035244,112.82428295085384,215.79297082746135,12173.343599721424,models_disagree;temporal_change,../../dataset/images/V01_f0000070.png,dino_pyramid/overlays/V01_f0000070.jpg,quality/dino_pyramid/entropy/V01_f0000070.jpg,quality/disagreement/V01_f0000070.jpg,,,,"[[162.7476368844509, 152.5978446006775], [381.6959440112114, 138.58909159898758], [375.93201476335526, 252.4002492427826]]",dino_pyramid/triangles/V01_f0000070.svg
